divergence_lookback_days,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
3,-0.8562,-0.3151,33.47,9.62,0.4195,-0.6697
4,1.0516,0.8483,12.89,19.23,3.2954,2.4008
5,0.6552,0.5429,11.83,19.23,1.9497,1.4875
6,0.7926,0.6785,12.82,19.23,2.2623,1.709
7,-1.5448,-0.7882,21.76,15.38,0.3466,-0.8515
