divergence_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.7926,0.6785,12.82,19.23,2.2623,1.709
0.06,0.7122,0.465,14.27,19.23,2.1139,1.3978
0.07,0.1803,0.0796,26.03,19.23,1.2508,0.0846
0.08,0.094,0.0413,26.03,17.31,1.1594,-0.0298
0.09,0.078,0.0343,26.03,15.38,1.1426,-0.0509
0.1,-0.8204,-0.2358,28.75,11.54,0.3797,-0.6918
0.11,-0.9767,-0.2772,28.75,7.69,0.259,-0.7889
0.12,-0.9515,-0.234,28.75,7.69,0.2676,-0.7723
0.13,-0.7147,-0.1443,23.69,7.69,0.3425,-0.7115
0.14,-0.4772,-0.1022,23.69,7.69,0.5595,-0.5438
0.15,-0.904,-0.1792,23.69,5.77,0.1625,-0.8509
