threshold_h,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,-0.7494,-0.236,8.82,5.77,0.6038,-0.478
0.07,0.4151,0.2041,8.82,11.54,1.7137,0.7525
0.09,1.0354,1.1346,8.74,15.38,3.6375,3.2529
0.11,0.7926,0.6785,12.82,19.23,2.2623,1.709
0.13,0.511,0.5865,11.66,25.0,1.5178,1.1489
0.15,0.335,0.3709,16.16,30.77,1.305,0.5038
0.17,0.5788,0.6788,12.77,32.69,1.4804,1.27
0.19,0.5961,0.7221,12.38,34.62,1.4885,1.361
0.21,0.8883,1.1515,15.62,38.46,1.7108,1.8128
0.23,0.9789,1.2777,12.26,40.38,1.81,2.5844
0.25,0.7971,0.7984,11.92,42.31,1.5239,1.5507
0.27,0.6739,0.7178,14.02,42.31,1.4233,1.1008
