Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2021-01-01,2021-01-07,2020-01-15,2020-12-31,2020-12-31,232,252,5,5,21,21,"['DOGE-ADA', 'MATIC-ADA', 'AAVE-DASH', 'AAVE-XMR', 'DASH-BCH', 'BTC-DOGE', 'BTC-XRP', 'ETH-DOGE', 'DOGE-FIL', 'DOGE-TRX', 'XLM-DOGE', 'XMR-DOGE', 'DOGE-ZCASH', 'ETC-XTZ', 'XLM-ETH', 'FIL-LINK', 'LINK-XRP', 'XRP-LTC', 'MATIC-XTZ', 'TRX-XRP', 'XMR-XRP']",3.645634651184082,0.021,92.06349206349206
2,2021-01-08,2021-01-14,2020-01-22,2021-01-07,2021-01-07,232,252,5,5,27,27,"['ADA-MATIC', 'ADA-XRP', 'AAVE-XMR', 'XTZ-AAVE', 'BCH-DASH', 'XTZ-BCH', 'BTC-XRP', 'XTZ-BTC', 'XTZ-DASH', 'DOGE-ETC', 'DOGE-MATIC', 'XTZ-EOS', 'ETC-XTZ', 'ETH-XRP', 'LINK-FIL', 'XTZ-FIL', 'LINK-TRX', 'LINK-XRP', 'LTC-XRP', 'XTZ-LTC', 'TRX-XRP', 'XTZ-TRX', 'VET-XTZ', 'XLM-XMR', 'XMR-XRP', 'XTZ-XMR', 'XTZ-XRP']",0.6774663925170898,0.027,92.06349206349206
3,2021-01-15,2021-01-21,2020-01-29,2021-01-14,2021-01-14,232,252,5,5,41,41,"['ADA-DASH', 'ADA-ETC', 'ADA-MATIC', 'XRP-ADA', 'ZCASH-ADA', 'DASH-AAVE', 'XMR-AAVE', 'AAVE-XTZ', 'DASH-BCH', 'XTZ-BCH', 'DASH-BTC', 'ETC-BTC', 'BTC-MATIC', 'XRP-BTC', 'XTZ-BTC', 'DASH-ETC', 'DASH-XTZ', 'ETC-DOGE', 'MATIC-DOGE', 'XLM-DOGE', 'XTZ-EOS', 'XTZ-ETC', 'MATIC-ETH', 'XMR-ETH', 'XRP-ETH', 'ZCASH-ETH', 'FIL-XTZ', 'TRX-LINK', 'XRP-LINK', 'ZCASH-LINK', 'XRP-LTC', 'XTZ-LTC', 'XTZ-MATIC', 'XRP-TRX', 'TRX-XTZ', 'ZCASH-VET', 'XMR-XLM', 'XRP-XLM', 'XRP-XMR', 'XMR-XTZ', 'XRP-XTZ']",-0.7313072681427002,0.041,92.06349206349206
4,2021-01-22,2021-01-28,2020-02-05,2021-01-21,2021-01-21,232,252,5,5,40,16,"['BCH-AAVE', 'DASH-AAVE', 'EOS-AAVE', 'ETC-AAVE', 'AAVE-MATIC', 'XLM-AAVE', 'XMR-AAVE', 'ETC-DASH', 'MATIC-FIL', 'ZCASH-FIL', 'MATIC-LINK', 'TRX-LINK', 'ZCASH-LINK', 'XTZ-MATIC', 'ZCASH-VET', 'XRP-XMR']",-7.143455743789673,0.016,92.06349206349206
5,2021-01-29,2021-02-04,2020-02-12,2021-01-28,2021-01-28,232,252,5,5,40,37,"['BCH-ADA', 'DASH-ADA', 'ADA-EOS', 'ADA-ETC', 'MATIC-ADA', 'ZCASH-ADA', 'AAVE-BCH', 'AAVE-DASH', 'AAVE-EOS', 'AAVE-ETC', 'AAVE-TRX', 'AAVE-XLM', 'AAVE-XMR', 'BCH-BTC', 'BCH-DASH', 'BCH-EOS', 'BCH-ETC', 'DASH-BTC', 'BTC-EOS', 'ETC-BTC', 'LTC-BTC', 'BTC-XLM', 'XRP-BTC', 'DASH-EOS', 'DASH-ETC', 'DASH-LTC', 'MATIC-ETH', 'ETH-XRP', 'ETH-ZCASH', 'FIL-TRX', 'FIL-ZCASH', 'LINK-TRX', 'ZCASH-LINK', 'LTC-XLM', 'XRP-TRX', 'VET-ZCASH', 'XRP-XMR']",5.1825642585754395,0.037,92.06349206349206
6,2021-02-05,2021-02-11,2020-02-19,2021-02-04,2021-02-04,232,252,5,5,42,42,"['BCH-ADA', 'DASH-ADA', 'EOS-ADA', 'ETC-ADA', 'ADA-MATIC', 'ADA-XRP', 'ZCASH-ADA', 'BCH-AAVE', 'DASH-AAVE', 'EOS-AAVE', 'ETC-AAVE', 'XLM-AAVE', 'XMR-AAVE', 'AAVE-XRP', 'BCH-DASH', 'BCH-EOS', 'BCH-LTC', 'DASH-BTC', 'EOS-BTC', 'ETC-BTC', 'LTC-BTC', 'XLM-BTC', 'BTC-XRP', 'DASH-EOS', 'ETC-DASH', 'LTC-DASH', 'XLM-DASH', 'EOS-DOGE', 'ETC-DOGE', 'MATIC-DOGE', 'XLM-ETH', 'ETH-XRP', 'ZCASH-ETH', 'ZCASH-FIL', 'TRX-LINK', 'ZCASH-LINK', 'XLM-LTC', 'LTC-XRP', 'TRX-XRP', 'ZCASH-VET', 'XLM-XRP', 'XMR-XRP']",1.5388131141662598,0.042,92.06349206349206
7,2021-02-12,2021-02-18,2020-02-26,2021-02-11,2021-02-11,232,252,5,5,40,33,"['ADA-BCH', 'ADA-DASH', 'ADA-EOS', 'ADA-ETC', 'ADA-XRP', 'ADA-ZCASH', 'AAVE-BCH', 'AAVE-DASH', 'AAVE-EOS', 'AAVE-XMR', 'AAVE-XRP', 'BCH-BTC', 'BCH-DASH', 'BCH-DOGE', 'BCH-EOS', 'BCH-LTC', 'BCH-XLM', 'BTC-DASH', 'BTC-EOS', 'BTC-LTC', 'BTC-XLM', 'BTC-XRP', 'DOGE-EOS', 'DOGE-ETC', 'DOGE-MATIC', 'ETH-XLM', 'ETH-XRP', 'ETH-ZCASH', 'LINK-TRX', 'LINK-XRP', 'LINK-ZCASH', 'XRP-XLM', 'XRP-XMR']",-5.18949031829834,0.033,92.06349206349206
8,2021-02-19,2021-02-25,2020-03-04,2021-02-18,2021-02-18,232,252,5,5,38,38,"['BCH-ADA', 'EOS-ADA', 'ZCASH-ADA', 'AAVE-EOS', 'AAVE-XMR', 'AAVE-XRP', 'BCH-BTC', 'BCH-DASH', 'BCH-DOGE', 'BCH-EOS', 'BCH-LTC', 'BCH-XLM', 'BCH-XRP', 'BTC-EOS', 'LTC-BTC', 'BTC-XLM', 'XRP-BTC', 'DASH-DOGE', 'EOS-DASH', 'ETC-DASH', 'XLM-DASH', 'DOGE-EOS', 'DOGE-ETC', 'DOGE-MATIC', 'EOS-FIL', 'EOS-ZCASH', 'ETC-MATIC', 'XLM-ETH', 'XRP-ETH', 'ZCASH-ETH', 'LINK-TRX', 'XRP-LINK', 'ZCASH-LINK', 'LTC-XLM', 'LTC-XRP', 'ZCASH-VET', 'XRP-XLM', 'XRP-XMR']",-3.0363380908966064,0.038,92.06349206349206
9,2021-02-26,2021-03-04,2020-03-11,2021-02-25,2021-02-25,232,252,5,5,42,38,"['BCH-ADA', 'EOS-ADA', 'ZCASH-ADA', 'BTC-BCH', 'BCH-DOGE', 'EOS-BCH', 'BCH-LTC', 'BCH-XLM', 'XRP-BCH', 'EOS-BTC', 'BTC-LTC', 'BTC-XLM', 'XRP-BTC', 'DASH-DOGE', 'EOS-DASH', 'DASH-ETC', 'EOS-DOGE', 'ETC-DOGE', 'DOGE-MATIC', 'ZCASH-DOGE', 'EOS-FIL', 'EOS-ZCASH', 'ETH-XLM', 'XMR-ETH', 'XRP-ETH', 'ETH-ZCASH', 'FIL-TRX', 'LINK-TRX', 'XRP-LINK', 'ZCASH-LINK', 'XLM-LTC', 'XRP-LTC', 'ZCASH-LTC', 'ZCASH-TRX', 'VET-ZCASH', 'XRP-XLM', 'ZCASH-XLM', 'XRP-XMR']",1.2941956520080566,0.038,92.06349206349206
10,2021-03-05,2021-03-11,2020-03-18,2021-03-04,2021-03-04,232,252,5,5,29,26,"['AAVE-EOS', 'XMR-AAVE', 'AAVE-XRP', 'BCH-DOGE', 'BCH-EOS', 'BTC-EOS', 'BTC-LTC', 'XLM-BTC', 'BTC-XRP', 'DOGE-DASH', 'DASH-EOS', 'DASH-ETC', 'DOGE-EOS', 'DOGE-ETC', 'ZCASH-EOS', 'MATIC-ETC', 'XLM-ETH', 'XMR-ETH', 'ETH-XRP', 'ZCASH-ETH', 'LINK-ZCASH', 'XLM-LTC', 'LTC-XRP', 'ZCASH-VET', 'XLM-XRP', 'XMR-XRP']",2.110779285430908,0.026000000000000002,92.06349206349206
