threshold_h,threshold_alpha,pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.13,0.25,0.45999999999999996,0.11,3.0,0.2857
0.07,0.05,0.48,0.11,6.0,0.8378
0.05,0.25,0.48,0.07,3.0,0.6508
0.09,0.11,0.4,0.09,4.0,0.7619
0.16999999999999998,0.07,0.36,0.09,5.0,-0.3211
0.21000000000000002,0.09,0.4,0.11,3.0,1.4464
0.16999999999999998,0.07,0.3,0.15,7.0,-1.4845
0.21000000000000002,0.11,0.32,0.12000000000000001,5.0,0.6013
0.07,0.15000000000000002,0.3,0.15,4.0,0.0
0.19,0.11,0.4,0.11,3.0,0.2931
0.25,0.19,0.44,0.05,4.0,1.4104
0.25,0.19,0.44,0.05,4.0,1.4104
0.25,0.19,0.42,0.05,4.0,1.4156
0.22999999999999998,0.19,0.36,0.13,3.0,0.2013
0.21000000000000002,0.15000000000000002,0.36,0.07,4.0,2.1585
0.13,0.15000000000000002,0.36,0.07,6.0,-0.3351
0.21000000000000002,0.13,0.38,0.07,3.0,-0.6968
0.21000000000000002,0.09,0.33999999999999997,0.09,5.0,0.8627
0.15000000000000002,0.16999999999999998,0.38,0.13,4.0,0.3424
0.19,0.22999999999999998,0.4,0.07,6.0,-0.1589
0.15,0.39,0.6000000000000001,0.11,3.0,0.0
0.09,0.03,0.65,0.11,6.0,0.0
0.03,0.39,0.65,0.07,3.0,0.0
0.09,0.12,0.45,0.09,4.0,0.0
0.24,0.06,0.35000000000000003,0.09,5.0,0.0
0.32999999999999996,0.09,0.45,0.11,3.0,0.0
0.24,0.09,0.2,0.15,7.0,0.0
0.32999999999999996,0.12,0.25,0.12000000000000001,5.0,0.0
0.06,0.21,0.2,0.15,4.0,0.0
0.27,0.15,0.45,0.11,3.0,0.0
0.15,0.39,0.55,0.05,4.0,0.0
0.15,0.32999999999999996,0.7,0.13,7.0,0.0
0.15,0.27,0.6000000000000001,0.13,6.0,0.0
