divergence_threshold,divergence_lookback_days,rho_threshold,Sharpe_Ratio
0.09,7.0,0.6799999999999999,-1.2322
0.11,3.0,0.6,0.0558
0.05,7.0,0.6599999999999999,-0.9286
0.12000000000000001,3.0,0.7,0.0
0.14,4.0,0.62,-1.8008
0.07,4.0,0.6599999999999999,-0.5198
0.09,4.0,0.6599999999999999,-0.688
0.060000000000000005,4.0,0.64,-1.1431
0.1,6.0,0.62,-0.4992
0.1,5.0,0.6,-1.6683
0.15,3.0,0.6,-0.3022
0.13,3.0,0.7,0.0
0.12000000000000001,3.0,0.7,0.0
0.12000000000000001,5.0,0.6799999999999999,-1.4154
0.12000000000000001,3.0,0.64,0.1803
0.11,5.0,0.62,-1.0298
0.08,3.0,0.64,0.6838
0.08,6.0,0.64,-0.4577
0.08,4.0,0.64,-1.1629
0.07,3.0,0.64,0.6106
