pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.38,0.15,6.0,-1.2461
0.42,0.060000000000000005,3.0,-0.2761
0.3,0.14,6.0,-0.9485
0.44,0.05,7.0,-0.9398
0.48,0.07,3.0,-0.9103
0.33999999999999997,0.08,5.0,0.1439
0.38,0.08,6.0,-0.6567
0.32,0.08,4.0,0.1431
0.4,0.13,3.0,-0.0568
0.4,0.11,3.0,-0.6096
0.33999999999999997,0.1,5.0,-0.3725
0.3,0.08,4.0,0.1273
0.33999999999999997,0.1,5.0,-0.3725
0.33999999999999997,0.08,4.0,0.2089
0.36,0.09,4.0,0.1162
0.33999999999999997,0.12000000000000001,5.0,-0.0051
0.48,0.060000000000000005,4.0,0.1869
0.5,0.05,4.0,0.2408
0.5,0.05,4.0,0.2408
0.5,0.05,4.0,0.2408
