Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2021-01-01,2021-01-07,2020-01-15,2020-12-31,2020-12-31,232,252,5,5,38,28,"['LTC-ADA', 'BCH-BTC', 'ETC-BCH', 'BCH-ETH', 'TRX-BCH', 'XLM-BCH', 'XRP-BCH', 'XTZ-BCH', 'LTC-BTC', 'DASH-DOGE', 'DASH-ETH', 'DASH-MATIC', 'DOGE-ETH', 'LTC-DOGE', 'TRX-DOGE', 'ETC-ETH', 'LINK-ETC', 'LTC-ETC', 'TRX-ETC', 'XLM-FIL', 'LINK-XMR', 'LTC-MATIC', 'LTC-XMR', 'XMR-MATIC', 'ZCASH-MATIC', 'TRX-ZCASH', 'XLM-XMR', 'XRP-XMR']",-3.039395809173584,0.028,92.06349206349206
2,2021-01-08,2021-01-14,2020-01-22,2021-01-07,2021-01-07,232,252,5,5,45,33,"['LINK-ADA', 'LTC-ADA', 'ADA-MATIC', 'BCH-DOGE', 'BCH-ETH', 'BCH-MATIC', 'TRX-BCH', 'BCH-XLM', 'BCH-XRP', 'DASH-DOGE', 'DASH-LTC', 'DASH-MATIC', 'EOS-DOGE', 'ETH-DOGE', 'LTC-DOGE', 'TRX-DOGE', 'XRP-DOGE', 'ETC-ETH', 'FIL-ETC', 'LTC-ETC', 'TRX-ETC', 'LTC-ETH', 'ETH-MATIC', 'FIL-XLM', 'FIL-XRP', 'LTC-MATIC', 'TRX-LTC', 'LTC-XLM', 'XMR-LTC', 'LTC-XRP', 'XMR-MATIC', 'ZCASH-MATIC', 'XMR-XLM']",2.821195125579834,0.033,92.06349206349206
3,2021-01-15,2021-01-21,2020-01-29,2021-01-14,2021-01-14,232,252,5,5,50,42,"['ADA-LINK', 'LTC-ADA', 'ADA-MATIC', 'DOGE-BCH', 'EOS-BCH', 'ETC-BCH', 'ETH-BCH', 'LTC-BCH', 'MATIC-BCH', 'TRX-BCH', 'XLM-BCH', 'XTZ-BCH', 'BCH-ZCASH', 'LTC-BTC', 'FIL-DASH', 'LINK-DASH', 'LTC-DASH', 'MATIC-DASH', 'TRX-DASH', 'DOGE-ETC', 'LTC-DOGE', 'EOS-ETC', 'ETH-ETC', 'FIL-ETC', 'LTC-ETC', 'MATIC-ETC', 'TRX-ETC', 'LTC-ETH', 'ETH-MATIC', 'VET-ETH', 'FIL-ZCASH', 'LTC-MATIC', 'LTC-TRX', 'LTC-XLM', 'LTC-XMR', 'LTC-XTZ', 'LTC-ZCASH', 'MATIC-XMR', 'MATIC-ZCASH', 'TRX-XMR', 'TRX-ZCASH', 'XLM-XMR']",2.826869487762451,0.042,92.06349206349206
4,2021-01-22,2021-01-28,2020-02-05,2021-01-21,2021-01-21,232,252,5,5,49,34,"['ETH-ADA', 'LINK-ADA', 'LTC-ADA', 'BCH-EOS', 'BCH-ETC', 'BCH-ETH', 'BCH-LTC', 'BCH-TRX', 'ZCASH-BCH', 'BTC-FIL', 'BTC-LTC', 'DASH-FIL', 'DASH-LINK', 'DASH-LTC', 'DASH-MATIC', 'DASH-TRX', 'DOGE-EOS', 'DOGE-ETC', 'DOGE-ETH', 'DOGE-LTC', 'DOGE-TRX', 'DOGE-XRP', 'MATIC-EOS', 'LINK-ETC', 'LTC-ETH', 'MATIC-ETH', 'ETH-VET', 'ZCASH-FIL', 'LTC-VET', 'XMR-LTC', 'ZCASH-LTC', 'XMR-TRX', 'ZCASH-TRX', 'XMR-XLM']",32.409799098968506,0.034,92.06349206349206
5,2021-01-29,2021-02-04,2020-02-12,2021-01-28,2021-01-28,232,252,5,5,49,32,"['ADA-ETH', 'BCH-EOS', 'BCH-ETC', 'BCH-ETH', 'BCH-LINK', 'BCH-MATIC', 'BCH-TRX', 'BCH-XMR', 'BCH-XTZ', 'BCH-ZCASH', 'FIL-BTC', 'DASH-LINK', 'DASH-MATIC', 'DASH-TRX', 'EOS-DOGE', 'ETC-DOGE', 'ETH-DOGE', 'LTC-DOGE', 'TRX-DOGE', 'LTC-EOS', 'EOS-MATIC', 'FIL-ETC', 'LTC-ETC', 'LTC-ETH', 'ETH-MATIC', 'XMR-ETH', 'LTC-LINK', 'LTC-TRX', 'VET-LTC', 'LTC-XTZ', 'XMR-MATIC', 'XMR-XLM']",-2.8778553009033203,0.032,92.06349206349206
6,2021-02-05,2021-02-11,2020-02-19,2021-02-04,2021-02-04,232,252,5,5,46,17,"['LTC-ADA', 'XMR-ADA', 'BCH-DOGE', 'BCH-EOS', 'BCH-ETH', 'BCH-MATIC', 'DASH-MATIC', 'TRX-DASH', 'ETC-DOGE', 'TRX-DOGE', 'LTC-EOS', 'ETC-ETH', 'LTC-ETH', 'VET-LTC', 'XMR-MATIC', 'TRX-XMR', 'TRX-ZCASH']",-8.220142126083374,0.017,92.06349206349206
7,2021-02-12,2021-02-18,2020-02-26,2021-02-11,2021-02-11,232,252,5,5,39,35,"['XMR-ADA', 'BCH-EOS', 'BCH-ETC', 'ETH-BCH', 'BCH-FIL', 'LINK-BCH', 'BCH-MATIC', 'BCH-TRX', 'BCH-XMR', 'BCH-ZCASH', 'BTC-FIL', 'LTC-BTC', 'DASH-FIL', 'LINK-DASH', 'LTC-DASH', 'DASH-TRX', 'XLM-DOGE', 'LTC-EOS', 'ETH-ETC', 'ETC-FIL', 'LTC-ETC', 'ETC-TRX', 'XMR-ETC', 'ETH-LTC', 'ETH-XMR', 'LTC-FIL', 'LINK-XMR', 'LTC-TRX', 'LTC-VET', 'LTC-XMR', 'LTC-XTZ', 'XMR-MATIC', 'XMR-TRX', 'ZCASH-TRX', 'XMR-ZCASH']",3.162825107574463,0.035,92.06349206349206
8,2021-02-19,2021-02-25,2020-03-04,2021-02-18,2021-02-18,232,252,5,5,29,28,"['ADA-XMR', 'BCH-DASH', 'EOS-BCH', 'FIL-BCH', 'LINK-BCH', 'LTC-BCH', 'TRX-BCH', 'BCH-XMR', 'XTZ-BCH', 'FIL-BTC', 'BTC-LTC', 'LINK-DASH', 'LTC-DASH', 'TRX-DASH', 'DOGE-XLM', 'EOS-LTC', 'ETH-ETC', 'LTC-ETC', 'TRX-ETC', 'ETH-LTC', 'LINK-XMR', 'TRX-LTC', 'VET-LTC', 'MATIC-XMR', 'TRX-ZCASH', 'VET-XMR', 'XLM-XMR', 'ZCASH-XMR']",3.5077929496765137,0.028,92.06349206349206
9,2021-02-26,2021-03-04,2020-03-11,2021-02-25,2021-02-25,232,252,5,5,21,15,"['DASH-BCH', 'BCH-FIL', 'BCH-LTC', 'XTZ-BCH', 'DASH-ETH', 'DASH-LINK', 'DASH-LTC', 'EOS-LTC', 'ETC-LTC', 'FIL-MATIC', 'XMR-LINK', 'TRX-LTC', 'VET-LTC', 'ZCASH-TRX', 'XMR-XLM']",-0.3544807434082031,0.015,92.06349206349206
10,2021-03-05,2021-03-11,2020-03-18,2021-03-04,2021-03-04,232,252,5,5,17,6,"['BCH-TRX', 'DASH-LINK', 'LTC-TRX', 'LTC-VET', 'ZCASH-TRX', 'XMR-VET']",0.06117820739746094,0.006,92.06349206349206
