threshold_h,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.6339,0.0,0.0,1.92,inf,0.0
0.07,1.3409,0.0,0.0,5.77,inf,1421779.4525
0.09,1.2476,0.6378,5.78,11.54,3.1882,3.32
0.11,0.28,0.1489,7.28,11.54,1.3151,0.718
0.13,-0.369,-0.1411,32.54,17.31,0.7844,-0.4457
0.15,0.7467,0.5087,11.88,19.23,1.6271,1.242
0.17,2.1284,1.8048,11.88,30.77,3.37,4.8829
0.19,2.2977,1.815,11.88,32.69,3.6162,5.408
0.21,2.1585,2.077,11.88,32.69,3.2096,5.0674
0.23,2.0986,3.4765,10.55,34.62,3.8008,8.9581
0.25,1.8269,2.237,10.55,36.54,3.0447,9.2217
0.27,1.9275,2.3701,9.52,40.38,3.0835,13.1054
