divergence_lookback_days,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
3,-0.4504,-0.2106,39.65,23.08,0.7662,-0.4645
4,2.1585,2.077,11.88,32.69,3.2096,5.0674
5,1.2992,1.3543,15.04,30.77,1.9051,2.255
6,1.1197,1.0061,11.67,32.69,1.7619,2.8096
7,1.0689,1.2596,11.37,30.77,1.6862,3.0176
