Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
13,2023-03-27,2023-03-31,2022-04-07,2023-03-24,2023-03-24,252,252,5,5,23,20,"['TRX-ADA', 'XTZ-ADA', 'AAVE-FIL', 'AAVE-LINK', 'AAVE-VET', 'BCH-XMR', 'BTC-LINK', 'BTC-TRX', 'LINK-DOGE', 'FIL-EOS', 'LINK-EOS', 'LINK-ETC', 'ETH-XMR', 'FIL-LINK', 'FIL-VET', 'LINK-XMR', 'VET-TRX', 'XLM-TRX', 'XTZ-TRX', 'XRP-XMR']",0.1301884651184082,0.02,100.0
14,2023-04-03,2023-04-07,2022-04-14,2023-03-31,2023-03-31,252,252,5,5,32,31,"['ADA-LINK', 'ADA-TRX', 'XTZ-ADA', 'FIL-AAVE', 'LINK-AAVE', 'AAVE-TRX', 'VET-AAVE', 'BCH-LINK', 'BCH-TRX', 'XMR-BCH', 'BTC-LINK', 'BTC-TRX', 'DASH-LINK', 'XMR-DASH', 'LINK-DOGE', 'EOS-LINK', 'ETC-LINK', 'ETC-VET', 'ETH-LINK', 'XMR-ETH', 'FIL-LINK', 'FIL-TRX', 'FIL-VET', 'XMR-LINK', 'MATIC-XLM', 'VET-TRX', 'XLM-TRX', 'XMR-TRX', 'XRP-TRX', 'XTZ-TRX', 'ZCASH-TRX']",0.18053054809570312,0.031,100.0
15,2023-04-10,2023-04-14,2022-04-21,2023-04-07,2023-04-07,252,252,5,5,50,46,"['ADA-AAVE', 'ADA-LINK', 'ADA-TRX', 'ADA-XMR', 'XTZ-ADA', 'AAVE-FIL', 'LINK-AAVE', 'AAVE-TRX', 'VET-AAVE', 'XMR-AAVE', 'BCH-LINK', 'TRX-BCH', 'BTC-LINK', 'BTC-TRX', 'DASH-LINK', 'DASH-XMR', 'DOGE-LINK', 'DOGE-XMR', 'XMR-EOS', 'ETC-FIL', 'ETC-LINK', 'ETC-VET', 'ETC-XMR', 'ETC-XRP', 'LINK-ETH', 'XMR-ETH', 'LINK-FIL', 'TRX-FIL', 'VET-FIL', 'XMR-FIL', 'XMR-LINK', 'LTC-XLM', 'LTC-XMR', 'LTC-XRP', 'XTZ-LTC', 'ZCASH-LTC', 'MATIC-XLM', 'MATIC-XMR', 'MATIC-XRP', 'MATIC-ZCASH', 'VET-TRX', 'XMR-TRX', 'TRX-XRP', 'XTZ-TRX', 'XMR-XLM', 'XTZ-XLM']",0.5892276763916016,0.046,100.0
16,2023-04-17,2023-04-21,2022-04-28,2023-04-14,2023-04-14,252,252,5,5,50,43,"['ADA-FIL', 'ADA-LINK', 'ADA-TRX', 'XMR-ADA', 'ADA-XTZ', 'AAVE-FIL', 'AAVE-LINK', 'AAVE-TRX', 'AAVE-VET', 'BCH-LINK', 'XMR-BCH', 'BTC-LINK', 'XMR-BTC', 'DASH-LINK', 'DASH-XMR', 'DOGE-FIL', 'DOGE-LINK', 'DOGE-XMR', 'EOS-LINK', 'ETC-FIL', 'ETC-LINK', 'XMR-ETC', 'ETC-XRP', 'ETH-LINK', 'FIL-LINK', 'TRX-FIL', 'FIL-VET', 'FIL-XMR', 'LINK-XMR', 'XLM-LTC', 'LTC-XMR', 'LTC-XTZ', 'LTC-ZCASH', 'VET-MATIC', 'XLM-MATIC', 'MATIC-XMR', 'TRX-VET', 'TRX-XMR', 'TRX-XRP', 'TRX-XTZ', 'TRX-ZCASH', 'XLM-XMR', 'XLM-XTZ']",-0.030422210693359375,0.043000000000000003,100.0
17,2023-04-24,2023-04-28,2022-05-05,2023-04-21,2023-04-21,252,252,5,5,48,45,"['ADA-AAVE', 'ADA-BCH', 'DOGE-ADA', 'ADA-EOS', 'ADA-LINK', 'ADA-TRX', 'ADA-VET', 'ADA-XMR', 'XRP-ADA', 'ADA-XTZ', 'FIL-AAVE', 'LINK-AAVE', 'LINK-BCH', 'BCH-XMR', 'BTC-LINK', 'BTC-XMR', 'XRP-BTC', 'LINK-DASH', 'DASH-XMR', 'XRP-DASH', 'DOGE-FIL', 'DOGE-LINK', 'DOGE-XMR', 'LINK-EOS', 'FIL-ETC', 'LINK-ETC', 'ETC-XMR', 'XRP-ETC', 'LINK-ETH', 'ETH-XMR', 'FIL-TRX', 'FIL-VET', 'FIL-XMR', 'LINK-XMR', 'LTC-XLM', 'LTC-XMR', 'XRP-LTC', 'MATIC-XMR', 'XRP-MATIC', 'MATIC-ZCASH', 'VET-TRX', 'XRP-TRX', 'VET-XMR', 'XLM-XMR', 'XLM-XTZ']",1.1943340301513672,0.045,100.0
18,2023-05-01,2023-05-05,2022-05-12,2023-04-28,2023-04-28,252,252,5,5,28,27,"['ADA-BCH', 'ADA-DOGE', 'LINK-ADA', 'ADA-TRX', 'BCH-AAVE', 'AAVE-FIL', 'LINK-AAVE', 'VET-AAVE', 'LINK-BCH', 'XMR-BCH', 'LINK-BTC', 'XMR-BTC', 'LINK-DASH', 'EOS-DOGE', 'LINK-DOGE', 'LINK-EOS', 'LINK-ETC', 'LINK-ETH', 'XMR-ETH', 'LINK-FIL', 'FIL-TRX', 'VET-FIL', 'XMR-FIL', 'XMR-LINK', 'LTC-ZCASH', 'VET-TRX', 'XTZ-XLM']",-0.06856322288513184,0.027,100.0
19,2023-05-08,2023-05-12,2022-05-19,2023-05-05,2023-05-05,252,252,5,5,25,23,"['BCH-ADA', 'ADA-DOGE', 'ADA-LINK', 'FIL-AAVE', 'AAVE-LINK', 'AAVE-VET', 'BCH-LINK', 'BTC-LINK', 'DASH-LINK', 'EOS-DOGE', 'DOGE-LINK', 'ZCASH-DOGE', 'EOS-LINK', 'ETC-LINK', 'LINK-ETH', 'FIL-LINK', 'FIL-TRX', 'FIL-VET', 'LINK-XMR', 'LTC-ZCASH', 'MATIC-ZCASH', 'XRP-ZCASH', 'ZCASH-XTZ']",-0.3839075565338135,0.023,100.0
20,2023-05-15,2023-05-19,2022-05-26,2023-05-12,2023-05-12,252,252,5,5,34,32,"['BCH-ADA', 'DOGE-ADA', 'LINK-ADA', 'TRX-ADA', 'XMR-ADA', 'AAVE-FIL', 'AAVE-LINK', 'BCH-LINK', 'BTC-LINK', 'DASH-LINK', 'DASH-XMR', 'DOGE-LINK', 'DOGE-TRX', 'DOGE-XMR', 'EOS-LINK', 'EOS-XMR', 'ETC-LINK', 'ETC-TRX', 'ETC-XMR', 'ETH-LINK', 'FIL-LINK', 'FIL-TRX', 'FIL-VET', 'FIL-XMR', 'VET-LINK', 'XMR-LINK', 'LTC-TRX', 'XLM-LTC', 'ZCASH-LTC', 'MATIC-TRX', 'MATIC-XMR', 'XMR-XLM']",0.6713032722473145,0.032,100.0
21,2023-05-22,2023-05-26,2022-06-02,2023-05-19,2023-05-19,252,252,5,5,38,38,"['BCH-ADA', 'ADA-DOGE', 'ADA-ETC', 'LINK-ADA', 'XMR-ADA', 'BCH-AAVE', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'LINK-BCH', 'LINK-BTC', 'XMR-BTC', 'LINK-DASH', 'XMR-DASH', 'LINK-DOGE', 'DOGE-TRX', 'DOGE-XLM', 'XMR-DOGE', 'ZCASH-DOGE', 'LINK-EOS', 'LINK-ETC', 'ETC-TRX', 'XMR-ETC', 'LINK-ETH', 'XMR-ETH', 'LINK-FIL', 'TRX-FIL', 'VET-FIL', 'XMR-FIL', 'LINK-TRX', 'LTC-XLM', 'XMR-LTC', 'ZCASH-LTC', 'XMR-MATIC', 'XMR-TRX', 'XMR-VET', 'XMR-XLM', 'ZCASH-XRP']",-0.3308236598968506,0.038,100.0
22,2023-05-29,2023-06-02,2022-06-09,2023-05-26,2023-05-26,252,252,5,5,41,41,"['DOGE-ADA', 'LINK-ADA', 'XMR-ADA', 'BCH-AAVE', 'FIL-AAVE', 'LINK-AAVE', 'VET-AAVE', 'LINK-BCH', 'BCH-MATIC', 'LINK-BTC', 'BTC-MATIC', 'XMR-BTC', 'BTC-ZCASH', 'LINK-DASH', 'DASH-MATIC', 'XMR-DASH', 'DOGE-LINK', 'DOGE-MATIC', 'DOGE-XLM', 'XMR-DOGE', 'DOGE-XTZ', 'DOGE-ZCASH', 'LINK-EOS', 'XMR-EOS', 'LINK-ETC', 'ETC-XLM', 'ETC-ZCASH', 'LINK-ETH', 'ETH-MATIC', 'LINK-FIL', 'VET-FIL', 'XMR-FIL', 'LINK-MATIC', 'XMR-LINK', 'XMR-LTC', 'LTC-ZCASH', 'XMR-MATIC', 'TRX-XMR', 'XMR-VET', 'XMR-XLM', 'ZCASH-XRP']",-0.8268177509307861,0.041,100.0
