divergence_threshold,divergence_lookback_days,rho_threshold,Sharpe_Ratio
0.09,7.0,0.6799999999999999,0.0534
0.11,3.0,0.6,1.7926
0.05,7.0,0.6599999999999999,-0.1917
0.12000000000000001,3.0,0.7,-1.1846
0.14,4.0,0.62,0.891
0.07,4.0,0.6599999999999999,0.8382
0.09,4.0,0.6599999999999999,0.3604
0.060000000000000005,4.0,0.64,0.4895
0.1,6.0,0.62,0.4799
0.1,5.0,0.6,0.5262
0.15,3.0,0.6,1.3553
0.15,3.0,0.6,1.3553
0.13,3.0,0.62,1.2844
0.12000000000000001,5.0,0.6,1.2095
0.15,3.0,0.64,-0.5961
0.12000000000000001,5.0,0.6,1.2095
0.11,3.0,0.62,1.2304
0.08,6.0,0.64,-0.3676
0.14,4.0,0.6,1.7577
0.14,4.0,0.62,0.891
