Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2023-01-02,2023-01-06,2022-01-13,2022-12-30,2022-12-30,252,252,5,5,35,2,"['DOGE-ETH', 'DOGE-XLM']",-0.9019136428833008,0.002,100.0
2,2023-01-09,2023-01-13,2022-01-20,2023-01-06,2023-01-06,252,252,5,5,34,6,"['BTC-ADA', 'EOS-FIL', 'LINK-ETC', 'XTZ-ETC', 'MATIC-FIL', 'TRX-XTZ']",1.209557056427002,0.006,100.0
3,2023-01-16,2023-01-20,2022-01-27,2023-01-13,2023-01-13,252,252,5,5,35,6,"['ZCASH-AAVE', 'ETC-LINK', 'ETC-XTZ', 'MATIC-FIL', 'MATIC-VET', 'MATIC-XTZ']",-1.2501299381256104,0.006,100.0
4,2023-01-23,2023-01-27,2022-02-03,2023-01-20,2023-01-20,252,252,5,5,33,16,"['ADA-BTC', 'BCH-AAVE', 'LINK-AAVE', 'LTC-AAVE', 'ZCASH-AAVE', 'BCH-BTC', 'BCH-XTZ', 'DASH-BTC', 'LINK-BTC', 'DOGE-XTZ', 'EOS-FIL', 'EOS-XTZ', 'ETC-XTZ', 'XMR-ETH', 'MATIC-FIL', 'MATIC-XTZ']",1.0948538780212402,0.016,100.0
5,2023-01-30,2023-02-03,2022-02-10,2023-01-27,2023-01-27,252,252,5,5,31,3,"['DASH-MATIC', 'ETC-LINK', 'ETC-XTZ']",-0.9445667266845703,0.003,100.0
6,2023-02-06,2023-02-10,2022-02-17,2023-02-03,2023-02-03,252,252,5,5,29,3,"['ETC-DASH', 'MATIC-DASH', 'XMR-LTC']",1.1264801025390625,0.003,100.0
7,2023-02-13,2023-02-17,2022-02-24,2023-02-10,2023-02-10,252,252,5,5,30,2,"['FIL-MATIC', 'XMR-MATIC']",0.34960508346557617,0.002,100.0
8,2023-02-20,2023-02-24,2022-03-03,2023-02-17,2023-02-17,252,252,5,5,36,9,"['ETC-ADA', 'AAVE-EOS', 'AAVE-FIL', 'ETC-DASH', 'TRX-DASH', 'EOS-FIL', 'MATIC-FIL', 'XMR-MATIC', 'XTZ-MATIC']",2.077198028564453,0.009000000000000001,100.0
9,2023-02-27,2023-03-03,2022-03-10,2023-02-24,2023-02-24,252,252,5,5,43,8,"['ADA-ZCASH', 'BCH-XTZ', 'EOS-XTZ', 'MATIC-XLM', 'MATIC-XMR', 'MATIC-XTZ', 'TRX-XTZ', 'XMR-XTZ']",0.9088993072509766,0.008,100.0
10,2023-03-06,2023-03-10,2022-03-17,2023-03-03,2023-03-03,252,252,5,5,44,7,"['AAVE-EOS', 'BCH-EOS', 'FIL-EOS', 'VET-EOS', 'XMR-EOS', 'XTZ-EOS', 'ZCASH-ETH']",0.09217262268066406,0.007,100.0
11,2023-03-13,2023-03-17,2022-03-24,2023-03-10,2023-03-10,252,252,5,5,43,20,"['ZCASH-ADA', 'DASH-AAVE', 'EOS-AAVE', 'LTC-AAVE', 'TRX-AAVE', 'VET-AAVE', 'ZCASH-AAVE', 'EOS-BCH', 'DASH-ETC', 'DASH-XMR', 'DOGE-XRP', 'EOS-FIL', 'EOS-XMR', 'EOS-XTZ', 'LTC-ETH', 'ZCASH-ETH', 'LTC-XMR', 'TRX-XLM', 'TRX-XMR', 'TRX-XRP']",-0.10427236557006836,0.02,100.0
12,2023-03-20,2023-03-24,2022-03-31,2023-03-17,2023-03-17,252,252,5,5,44,15,"['ADA-BTC', 'AAVE-BCH', 'AAVE-ETH', 'AAVE-FIL', 'AAVE-LTC', 'AAVE-TRX', 'BCH-BTC', 'LINK-BTC', 'VET-BTC', 'ZCASH-BTC', 'EOS-XTZ', 'MATIC-FIL', 'MATIC-XTZ', 'XRP-TRX', 'XRP-XMR']",0.6247520446777344,0.015,100.0
13,2023-03-27,2023-03-31,2022-04-07,2023-03-24,2023-03-24,252,252,5,5,40,14,"['AAVE-ADA', 'AAVE-DASH', 'AAVE-LTC', 'AAVE-XLM', 'AAVE-XRP', 'AAVE-ZCASH', 'BCH-EOS', 'FIL-EOS', 'MATIC-EOS', 'XTZ-EOS', 'ETH-LTC', 'MATIC-XMR', 'MATIC-XRP', 'XMR-XRP']",-1.6979873180389404,0.014,100.0
14,2023-04-03,2023-04-07,2022-04-14,2023-03-31,2023-03-31,252,252,5,5,39,7,"['AAVE-ADA', 'ETC-ADA', 'AAVE-XLM', 'DOGE-XLM', 'MATIC-XRP', 'XMR-XRP', 'XMR-ZCASH']",-0.8496701717376709,0.007,100.0
15,2023-04-10,2023-04-14,2022-04-21,2023-04-07,2023-04-07,252,252,5,5,37,3,"['DASH-AAVE', 'XLM-AAVE', 'XLM-DOGE']",-1.4483749866485596,0.003,100.0
16,2023-04-17,2023-04-21,2022-04-28,2023-04-14,2023-04-14,252,252,5,5,38,2,"['AAVE-ADA', 'AAVE-ZCASH']",-1.6175806522369385,0.002,100.0
17,2023-04-24,2023-04-28,2022-05-05,2023-04-21,2023-04-21,252,252,5,5,35,3,"['DASH-XMR', 'EOS-LINK', 'EOS-XMR']",0.6235480308532715,0.003,100.0
18,2023-05-01,2023-05-05,2022-05-12,2023-04-28,2023-04-28,252,252,5,5,32,0,[],0.0,0.0,100.0
19,2023-05-08,2023-05-12,2022-05-19,2023-05-05,2023-05-05,252,252,5,5,31,0,[],0.0,0.0,100.0
20,2023-05-15,2023-05-19,2022-05-26,2023-05-12,2023-05-12,252,252,5,5,38,4,"['EOS-BCH', 'DASH-XMR', 'EOS-TRX', 'EOS-XMR']",0.9858489036560059,0.004,100.0
21,2023-05-22,2023-05-26,2022-06-02,2023-05-19,2023-05-19,252,252,5,5,40,5,"['AAVE-LTC', 'ETH-DASH', 'XMR-DASH', 'ETH-LTC', 'XTZ-LTC']",1.8485784530639648,0.005,100.0
22,2023-05-29,2023-06-02,2022-06-09,2023-05-26,2023-05-26,252,252,5,5,39,0,[],0.0,0.0,100.0
23,2023-06-05,2023-06-09,2022-06-16,2023-06-02,2023-06-02,252,252,5,5,39,3,"['AAVE-LTC', 'DASH-XRP', 'XMR-TRX']",0.04624128341674805,0.003,100.0
24,2023-06-12,2023-06-16,2022-06-23,2023-06-09,2023-06-09,252,252,5,5,36,12,"['ADA-ETH', 'ADA-XMR', 'TRX-BCH', 'DASH-XRP', 'VET-ETH', 'MATIC-XTZ', 'MATIC-ZCASH', 'TRX-XLM', 'TRX-XMR', 'TRX-XRP', 'VET-XRP', 'XTZ-XRP']",0.3932952880859375,0.012,100.0
25,2023-06-19,2023-06-23,2022-06-30,2023-06-16,2023-06-16,252,252,5,5,38,11,"['AAVE-BCH', 'EOS-AAVE', 'EOS-BCH', 'XTZ-BTC', 'DASH-ETH', 'DASH-XMR', 'EOS-XMR', 'EOS-XTZ', 'MATIC-ETH', 'XLM-TRX', 'XRP-TRX']",-3.312450647354126,0.011,100.0
26,2023-06-26,2023-06-30,2022-07-07,2023-06-23,2023-06-23,252,252,5,5,40,10,"['AAVE-BCH', 'DOGE-BCH', 'EOS-BCH', 'ETH-BCH', 'TRX-BCH', 'ETH-XMR', 'XRP-LTC', 'TRX-XLM', 'TRX-XMR', 'XRP-VET']",-9.284776449203491,0.01,100.0
