Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
1,2022-01-03,2022-01-07,2021-01-14,2021-12-31,2021-12-31,240,252,5,5,13,12,"['DASH-AAVE', 'MATIC-AAVE', 'EOS-BCH', 'FIL-BCH', 'BCH-XMR', 'LINK-DASH', 'FIL-EOS', 'LINK-XLM', 'TRX-VET', 'TRX-XRP', 'VET-XMR', 'VET-XRP']",2.761375904083252,0.012,95.23809523809523
2,2022-01-10,2022-01-14,2021-01-21,2022-01-07,2022-01-07,240,252,5,5,21,20,"['ADA-XRP', 'AAVE-DASH', 'DOGE-AAVE', 'MATIC-AAVE', 'BCH-EOS', 'FIL-BCH', 'XMR-BCH', 'MATIC-BTC', 'DASH-LINK', 'MATIC-DASH', 'FIL-EOS', 'XMR-EOS', 'ETH-TRX', 'XMR-FIL', 'MATIC-LINK', 'XMR-LINK', 'MATIC-LTC', 'VET-TRX', 'TRX-XRP', 'XMR-VET']",4.949533939361572,0.02,95.23809523809523
3,2022-01-17,2022-01-21,2021-01-28,2022-01-14,2022-01-14,240,252,5,5,30,25,"['XRP-ADA', 'AAVE-DASH', 'MATIC-AAVE', 'AAVE-XMR', 'XRP-AAVE', 'BCH-EOS', 'FIL-BCH', 'BCH-MATIC', 'BCH-XMR', 'BTC-MATIC', 'LINK-DASH', 'DASH-MATIC', 'DASH-XMR', 'FIL-EOS', 'EOS-MATIC', 'ETC-XMR', 'FIL-MATIC', 'FIL-XMR', 'LINK-LTC', 'LINK-MATIC', 'LINK-XMR', 'MATIC-LTC', 'VET-TRX', 'VET-XMR', 'XLM-XMR']",-0.3097414970397949,0.025,95.23809523809523
4,2022-01-24,2022-01-28,2021-02-04,2022-01-21,2022-01-21,240,252,5,5,34,33,"['BCH-AAVE', 'DASH-AAVE', 'MATIC-AAVE', 'VET-AAVE', 'XMR-AAVE', 'BCH-EOS', 'BCH-FIL', 'BCH-MATIC', 'BCH-XMR', 'BTC-MATIC', 'DASH-LINK', 'LTC-DASH', 'DASH-MATIC', 'XLM-DASH', 'ETC-DOGE', 'FIL-EOS', 'EOS-MATIC', 'EOS-VET', 'EOS-XMR', 'ETH-MATIC', 'FIL-MATIC', 'FIL-XMR', 'LTC-LINK', 'MATIC-LINK', 'VET-LINK', 'LINK-XMR', 'MATIC-LTC', 'VET-LTC', 'XRP-LTC', 'VET-TRX', 'XRP-TRX', 'XRP-VET', 'XLM-XMR']",-0.05652904510498047,0.033,95.23809523809523
5,2022-01-31,2022-02-04,2021-02-11,2022-01-28,2022-01-28,240,252,5,5,38,37,"['ADA-VET', 'ADA-XRP', 'AAVE-BCH', 'AAVE-DASH', 'AAVE-TRX', 'AAVE-VET', 'AAVE-XMR', 'BCH-EOS', 'BCH-FIL', 'XMR-BCH', 'TRX-BTC', 'DASH-LINK', 'LTC-DASH', 'DASH-MATIC', 'TRX-DASH', 'XLM-DASH', 'XMR-DASH', 'DOGE-ETC', 'FIL-EOS', 'VET-EOS', 'XMR-EOS', 'TRX-ETC', 'XRP-ETC', 'XMR-FIL', 'LTC-LINK', 'XLM-LINK', 'XMR-LINK', 'LTC-TRX', 'LTC-XLM', 'XRP-LTC', 'TRX-MATIC', 'XRP-MATIC', 'VET-TRX', 'XRP-TRX', 'XRP-VET', 'XMR-XLM', 'XRP-XLM']",0.4367947578430176,0.037,95.23809523809523
6,2022-02-07,2022-02-11,2021-02-18,2022-02-04,2022-02-04,240,252,5,5,38,33,"['ADA-XRP', 'AAVE-DASH', 'AAVE-TRX', 'AAVE-XRP', 'BCH-EOS', 'BCH-FIL', 'BCH-VET', 'BCH-XMR', 'BTC-TRX', 'LINK-DASH', 'DASH-TRX', 'DASH-XMR', 'DOGE-ETC', 'FIL-EOS', 'EOS-VET', 'EOS-XMR', 'ETC-TRX', 'ETC-XRP', 'FIL-MATIC', 'FIL-XMR', 'LINK-LTC', 'LINK-XLM', 'LTC-TRX', 'LTC-VET', 'LTC-XRP', 'MATIC-TRX', 'MATIC-XRP', 'TRX-VET', 'TRX-XRP', 'VET-XMR', 'VET-ZCASH', 'XLM-XMR', 'XLM-XRP']",-0.4060328006744385,0.033,95.23809523809523
7,2022-02-14,2022-02-18,2021-02-25,2022-02-11,2022-02-11,240,252,5,5,42,41,"['ADA-TRX', 'ADA-XRP', 'AAVE-DASH', 'EOS-AAVE', 'FIL-AAVE', 'AAVE-MATIC', 'AAVE-TRX', 'AAVE-XMR', 'AAVE-XRP', 'EOS-BCH', 'FIL-BCH', 'XMR-BCH', 'TRX-BTC', 'XRP-BTC', 'LINK-DASH', 'TRX-DASH', 'VET-DASH', 'DASH-XMR', 'DOGE-ETC', 'FIL-EOS', 'EOS-MATIC', 'EOS-XMR', 'TRX-ETC', 'XRP-ETC', 'FIL-MATIC', 'FIL-XLM', 'FIL-XMR', 'LINK-LTC', 'LINK-TRX', 'LINK-VET', 'LINK-XLM', 'TRX-LTC', 'VET-LTC', 'XLM-LTC', 'LTC-XRP', 'MATIC-XRP', 'VET-TRX', 'TRX-XRP', 'VET-XMR', 'XLM-XMR', 'XLM-XRP']",0.5573749542236328,0.041,95.23809523809523
8,2022-02-21,2022-02-25,2021-03-04,2022-02-18,2022-02-18,240,252,5,5,47,40,"['ADA-TRX', 'ADA-XRP', 'AAVE-DASH', 'AAVE-DOGE', 'AAVE-EOS', 'AAVE-FIL', 'AAVE-MATIC', 'AAVE-TRX', 'AAVE-XRP', 'EOS-BCH', 'BCH-FIL', 'MATIC-BCH', 'XMR-BCH', 'BTC-TRX', 'BTC-XRP', 'LINK-DASH', 'MATIC-DASH', 'TRX-DASH', 'VET-DASH', 'XMR-DASH', 'ETC-DOGE', 'EOS-FIL', 'MATIC-EOS', 'XMR-EOS', 'ETC-XRP', 'MATIC-FIL', 'XLM-FIL', 'XMR-FIL', 'LTC-LINK', 'LINK-TRX', 'VET-LINK', 'XMR-LINK', 'LTC-TRX', 'LTC-XLM', 'LTC-XRP', 'MATIC-TRX', 'MATIC-XRP', 'TRX-XRP', 'XMR-XLM', 'XLM-XRP']",0.6484508514404297,0.04,95.23809523809523
9,2022-02-28,2022-03-04,2021-03-11,2022-02-25,2022-02-25,240,252,5,5,49,47,"['DOGE-ADA', 'ADA-ETC', 'TRX-ADA', 'ADA-XRP', 'DASH-AAVE', 'DOGE-AAVE', 'EOS-AAVE', 'FIL-AAVE', 'XMR-AAVE', 'AAVE-XRP', 'DOGE-BCH', 'EOS-BCH', 'VET-BCH', 'XMR-BCH', 'BCH-XRP', 'TRX-BTC', 'BTC-XRP', 'DOGE-DASH', 'EOS-DASH', 'FIL-DASH', 'DASH-LINK', 'TRX-DASH', 'DASH-XMR', 'DASH-XRP', 'DOGE-ETC', 'FIL-EOS', 'EOS-XMR', 'EOS-XRP', 'FIL-LINK', 'TRX-FIL', 'FIL-VET', 'FIL-XMR', 'FIL-XRP', 'LTC-LINK', 'TRX-LINK', 'VET-LINK', 'XMR-LINK', 'LINK-XRP', 'TRX-LTC', 'VET-LTC', 'LTC-XRP', 'TRX-XRP', 'VET-XLM', 'VET-XMR', 'XMR-XLM', 'XLM-XRP', 'XMR-XRP']",0.45293569564819336,0.047,95.23809523809523
10,2022-03-07,2022-03-11,2021-03-18,2022-03-04,2022-03-04,240,252,5,5,47,43,"['DOGE-ADA', 'ADA-ETC', 'ADA-XRP', 'DOGE-AAVE', 'EOS-AAVE', 'AAVE-VET', 'AAVE-XMR', 'AAVE-XRP', 'BCH-DASH', 'EOS-BCH', 'BCH-ETC', 'BCH-XMR', 'BCH-XRP', 'DOGE-BTC', 'TRX-BTC', 'XRP-BTC', 'DOGE-DASH', 'DASH-LINK', 'TRX-DASH', 'DASH-VET', 'XLM-DASH', 'DASH-XMR', 'XRP-DASH', 'DOGE-ETC', 'EOS-ETC', 'EOS-FIL', 'EOS-XMR', 'FIL-XMR', 'XRP-FIL', 'LTC-LINK', 'TRX-LINK', 'LINK-VET', 'XLM-LINK', 'LINK-XMR', 'XRP-LINK', 'TRX-LTC', 'LTC-VET', 'LTC-XRP', 'XRP-TRX', 'XLM-VET', 'XRP-VET', 'XLM-XMR', 'XLM-XRP']",-0.46910643577575684,0.043000000000000003,95.23809523809523
