divergence_threshold,divergence_lookback_days,pval_threshold,Sharpe_Ratio
0.09,7.0,0.035,0.6571
0.11,3.0,0.02,0.7657
0.05,7.0,0.035,0.6927
0.12000000000000001,3.0,0.04,-0.3086
0.14,4.0,0.02,0.9043
0.07,4.0,0.03,0.0682
0.09,4.0,0.035,-0.1504
0.060000000000000005,4.0,0.025,0.1869
0.1,6.0,0.02,0.9021
0.1,5.0,0.02,0.4795
0.15,5.0,0.025,-0.0026
0.14,6.0,0.02,0.9396
0.15,6.0,0.025,0.4386
0.13,6.0,0.02,0.8803
0.13,5.0,0.025,-0.0631
0.14,6.0,0.03,0.5172
0.13,4.0,0.02,0.9127
0.12000000000000001,5.0,0.025,0.0285
0.13,3.0,0.03,-0.0262
0.15,7.0,0.02,1.0615
