pair_hxy_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.3,-0.7611,-0.1713,1.36,1.92,1.2585,0.2339
0.32,-0.7611,-0.1713,1.36,1.92,1.2585,0.2339
0.34,-0.7611,-0.1713,1.36,1.92,1.2585,0.2339
0.36,-0.7611,-0.1713,1.36,1.92,1.2585,0.2339
0.38,-0.7611,-0.1713,1.36,1.92,1.2585,0.2339
0.4,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.42,0.9067,1.2617,1.36,5.77,7.323,8.2078
0.44,0.2988,0.1693,4.48,5.77,1.8638,1.0749
0.46,0.1252,0.0622,4.48,5.77,1.4304,0.6367
0.48,0.1945,0.0969,4.48,7.69,1.53,0.8182
0.5,0.042,0.0238,4.48,5.77,1.279,0.4207
0.52,0.2106,0.1212,4.48,7.69,1.4676,0.8692
