threshold_alpha,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Win_Rate_%,Profit_Factor,Calmar_Ratio
0.05,0.7079,1.9842,0.45,1.92,20.1679,18.4678
0.07,0.8828,2.5105,0.45,3.85,24.0229,22.5101
0.09,0.7254,0.9183,1.36,3.85,5.9124,6.2821
0.11,0.7483,1.0297,1.36,3.85,6.3699,6.868
0.13,0.3056,0.1258,5.39,3.85,1.842,0.9291
0.15,0.0484,0.0222,8.25,3.85,1.2718,0.233
0.17,-0.2942,-0.1042,6.97,5.77,0.9511,-0.1089
0.19,0.2963,0.1213,5.19,11.54,1.546,0.7999
0.21,0.1902,0.0919,4.11,11.54,1.3949,0.7936
0.23,-0.151,-0.0725,6.9,11.54,1.0599,0.0497
0.25,0.0054,0.0026,6.9,11.54,1.1747,0.2437
0.27,0.0054,0.0026,6.9,11.54,1.1747,0.2437
