pair_hxy_threshold,divergence_threshold,divergence_lookback_days,Sharpe_Ratio
0.38,0.15,6.0,-1.7135
0.42,0.060000000000000005,3.0,-1.5074
0.3,0.14,6.0,-1.688
0.44,0.05,7.0,-1.8308
0.48,0.07,3.0,-0.4354
0.33999999999999997,0.08,5.0,-0.9899
0.38,0.08,6.0,-0.8944
0.32,0.08,4.0,-1.3711
0.4,0.13,3.0,-1.2792
0.4,0.11,3.0,-0.7413
0.5,0.11,4.0,-1.4383
0.48,0.11,3.0,-0.519
0.5,0.1,4.0,-1.5782
0.45999999999999996,0.12000000000000001,3.0,-0.3298
0.45999999999999996,0.09,4.0,-1.4591
0.45999999999999996,0.13,5.0,-1.4732
0.45999999999999996,0.060000000000000005,3.0,-0.7649
0.44,0.12000000000000001,4.0,-0.7546
0.48,0.07,5.0,-0.8187
0.5,0.1,3.0,-0.6058
