Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Information_Cutoff,Actual_Lookback_Days,Target_Lookback_Days,Trading_Days,Target_Trading_Days,Num_Selected_Pairs,Num_Filtered_Pairs,Pairs,Weekly_Profit_%,Transaction_Costs,Data_Coverage_%
29,2022-07-18,2022-07-22,2021-07-29,2022-07-15,2022-07-15,252,252,5,5,39,8,"['LTC-AAVE', 'DOGE-ETH', 'EOS-ETH', 'EOS-MATIC', 'XLM-MATIC', 'XMR-MATIC', 'XRP-MATIC', 'ZCASH-MATIC']",4.542994499206543,0.008,100.0
30,2022-07-25,2022-07-29,2021-08-05,2022-07-22,2022-07-22,252,252,5,5,37,4,"['BCH-EOS', 'ETH-EOS', 'XLM-EOS', 'XRP-EOS']",-0.3610849380493164,0.004,100.0
31,2022-08-01,2022-08-05,2021-08-12,2022-07-29,2022-07-29,252,252,5,5,37,10,"['ADA-BCH', 'BTC-BCH', 'EOS-BCH', 'ETH-BCH', 'TRX-BCH', 'XLM-BCH', 'XRP-BCH', 'ETH-ETC', 'XMR-ETC', 'XRP-ETC']",-1.8730700016021729,0.01,100.0
32,2022-08-08,2022-08-12,2021-08-19,2022-08-05,2022-08-05,252,252,5,5,35,0,[],0.0,0.0,100.0
33,2022-08-15,2022-08-19,2021-08-26,2022-08-12,2022-08-12,252,252,5,5,29,4,"['LINK-ETC', 'XLM-ETC', 'XTZ-ETC', 'ZCASH-ETH']",2.2090554237365723,0.004,100.0
34,2022-08-22,2022-08-26,2021-09-02,2022-08-19,2022-08-19,252,252,5,5,31,4,"['AAVE-LTC', 'BCH-EOS', 'XMR-EOS', 'XTZ-EOS']",4.1905999183654785,0.004,100.0
35,2022-08-29,2022-09-02,2021-09-09,2022-08-26,2022-08-26,252,252,5,5,32,0,[],0.0,0.0,100.0
36,2022-09-05,2022-09-09,2021-09-16,2022-09-02,2022-09-02,252,252,5,5,33,4,"['AAVE-LTC', 'BCH-LTC', 'XTZ-EOS', 'ETC-LTC']",-0.13955235481262207,0.004,100.0
37,2022-09-12,2022-09-16,2021-09-23,2022-09-09,2022-09-09,252,252,5,5,33,0,[],0.0,0.0,100.0
38,2022-09-19,2022-09-23,2021-09-30,2022-09-16,2022-09-16,252,252,5,5,35,3,"['ETH-BCH', 'ETC-LINK', 'MATIC-XRP']",-7.564127445220947,0.003,100.0
